symptoms_text,specialty
كل لما أسمع خبر مفاجئ قلبي يوقف,قلب
بحس بدقة في رقبتي بشكل مزعج,قلب
بحس إن قلبي بيشتغل زي المروحة,قلب
لما بضحك جامد بحس نبضة قوية,قلب
بحس حرارة جوا قلبي لما أتنرفز,قلب
لما أبكي قلبي بيتقفل جامد,قلب
دقات قلبي بتطلع في دماغي وتوجعني,قلب
بحس وجع شديد في الناحية الشمال من صدري,قلب
كل لما أكل حاجة مسكرة قلبي يضرب بسرعة,قلب
بحس إن قلبي مش ثابت في مكانه,قلب
لما أتنفس جامد بحس نبضة تضرب في صدري,قلب
بحس دقات قلبي عاملة رعشة في جسمي كله,قلب
نفسي بيبقى قصير لما أتحرك خطوة,قلب
بحس بلسعة في قلبي كل ما أضحك,قلب
وشي بيحمر لما قلبي يسرع فجأة,قلب
بحس إن قلبي بيخبط زي المطرقة,قلب
كل لما أركب عجلة بحس قلبي ينهار,قلب
بحس إن قلبي بيولع لما أقف فجأة,قلب
دقات قلبي تيجي بشكل متقطع,قلب
بحس رعشة في رجلي مع الخفقان,قلب
بحس بدقة قوية لما أقول كلمة بصوت عالي,قلب
وشي بيصفر لما قلبي يجري فجأة,قلب
بحس إن قلبي بيسخن جوا الصدر,قلب
لما أبذل مجهود بسيط بحس قلبي هيقف,قلب
بحس إن قلبي بينفض لما أتنرفز,قلب
وشي بيحمر لما أكون في اجتماع,قلب
بحس بدقة تخبط في معدتي,قلب
نفسي بيقف لما قلبي يضرب بسرعة,قلب
بحس وجع بيمتد لدرعي,قلب
دقات قلبي تشتغل وتوقف فجأة,قلب
بحس قلبي بيرقص جوايا,قلب
بحس نبض غريب في بطني مع خفقان,قلب
كل لما أركب أتوبيس مزدحم قلبي ينهار,قلب
بحس إن قلبي بيجري وأنا مش بعمل حاجة,قلب
لما أشرب قهوة قلبي يسرع بشكل مرعب,قلب
بحس إني بموت لما دقات قلبي تعلى فجأة,قلب
بحس وجع في صدري لما أتنفس جامد,قلب
وشي بيصفر لما الوجع يشتد,قلب
بحس بدوخة جاية من قلبي,قلب
بحس حرارة لما قلبي يوجعني,قلب
لما أركب مصعد سريع قلبي يتهز جامد,قلب
بحس إن قلبي بينفض لما أسمع صوت عالي,قلب
كل لما أبكي بحس قلبي بينضغط,قلب
بحس دقة قوية لما أمد رقبتي,قلب
بحس رعشة في القلب لما أضحك فجأة,قلب
بحس إن قلبي بيضغط عليا من جوه,قلب
نفسي بيقف لما قلبي يسرع فجأة,قلب
كل لما أكل دهون بحس دقة في صدري,قلب
بحس إن قلبي بيقف ثواني,قلب
وشي بيحمر مع ألم في صدري,قلب
بحس بنغزة في كتفي الشمال,قلب
بحس إن قلبي بيفقد توازنه لما أقف فجأة,قلب
بحس حرارة لما أقعد فجأة,قلب
بحس بدقة تخبط في ضهري,قلب
وشي بيصفر لما أبذل مجهود,قلب
بحس نبضة قوية تحت الترقوة,قلب
بحس إن قلبي بينقفل لما أضحك,قلب
كل لما أتوتر بحس غصة في صدري,قلب
بحس إن قلبي بيشتغل زيادة,قلب
وشي بيحمر لما قلبي يضرب بسرعة,قلب
بحس نبض واضح في رجلي لما دقات قلبي تعلى,قلب
بحس إن قلبي بيخبط مع كل خطوة,قلب
نفسي بيضيق لما أقعد وسط ناس,قلب
بحس حرارة لما أتحرك فجأة,قلب
بحس إن قلبي بيتنطط لما أضحك,قلب
بحس رعشة في إيدي لما قلبي يضرب جامد,قلب
وشي بيصفر لما أركب سلالم,قلب
بحس بدقة قوية في بطني لما أتوتر,قلب
بحس إن قلبي بينضغط لما أزعق,قلب
نفسي بيبقى تقيل لما الجو حر,قلب
بحس حرارة لما أضحك جامد,قلب
كل لما أشهق بحس نبضة قوية,قلب
بحس بدقة تخبط في جنبي الشمال,قلب
بحس إن قلبي بيقف لما أدوخ نفسي,قلب
وشي بيصفر لما قلبي يسرع فجأة,قلب
بحس إن قلبي مربوط بحاجة من جوه,قلب
بحس رعشة في رجلي مع نبض قوي,قلب
كل لما أسمع خبر مفاجئ قلبي يوجعني,قلب
بحس حرارة لما أتحرك بسرعة,قلب
وشي بيصفر لما أدوّس على الأرض جامد,قلب
بحس بدقة تضرب في رقبتي,قلب
بحس وجع بيروح للظهر مع الخفقان,قلب
نفسي بيقف لما قلبي يتوتر,قلب
بحس إن قلبي بيضغط ضغطة قوية,قلب
كل لما أضحك جامد بحس بلسعة في صدري,قلب
بحس نبضة قوية لما أبذل أي مجهود,قلب
بحس رعشة في بطني لما قلبي يضرب,قلب
وشي بيصفر لما أتحرك فجأة,قلب
بحس حرارة لما أبكي جامد,قلب
بحس إن قلبي بيقف ويرجع بسرعة,قلب
بحس بدقة جامدة لما أركز قوي,قلب
بحس نبضة تضرب في جنبي اليمين,قلب
وشي بيحمر لما أبذل أي مجهود,قلب
بحس حرارة لما أضحك بشكل مبالغ,قلب
بحس رعشة في القلب لما أشرب حاجة ساقعة,قلب
كل لما أركب حاجة سريعة قلبي يتهز جامد,قلب
بحس إن قلبي مش في مكانه الطبيعي,قلب
بحس نبضة قوية في رجلي مع الخفقان,قلب
وشي بيصفر لما قلبي يجري فجأة,قلب
بحس إن قلبي بيتقفل من التوتر,قلب
نفسي بيضيق لما أسمع صوت عالي,قلب
بحس حرارة في صدري لما الجو حر,قلب
بحس وجع بيروح لفكي مع الخفقان,قلب
وشي بيصفر لما قلبي يسرع من غير سبب,قلب
بحس رعشة في صدري لما أسمع صوت عالي,قلب
لما أتحرك فجأة بحس قلبي بيقفل,قلب
نفسي بيقف لما قلبي يدق جامد,قلب
بحس إن قلبي بيترج لما أضحك,قلب
وشي بيصفر لما دقات قلبي تسرع فجأة,قلب
بحس إن قلبي بيقف لحظة مع المفاجآت,قلب
لما أقوم بسرعة بحس بوجع في صدري,قلب
بحس بدقة قوية لما أفتح باب فجأة,قلب
بحس حرارة في قلبي لما أتوتر,قلب
وشي بيحمر لما دقات قلبي تزيد,قلب
بحس إن قلبي بيدق في ضهري,قلب
لما أشهق جامد بحس نبضة تخبط في صدري,قلب
بحس نبضة واضحة في ودني لما أبذل مجهود,قلب
بحس إن قلبي بيجري لما أقرأ بصوت عالي,قلب
وشي بيصفر لما الجو حر,قلب
بحس رعشة في رجلي لما قلبي يضرب جامد,قلب
بحس إن قلبي بيتزنق لما ألبس ضيق,قلب
بحس حرارة لما أكون في مكان زحمة,قلب
وشي بيصفر لما أوقف فجأة,قلب
بحس إن قلبي بيدق أسرع لما أسمع موسيقى عالية,قلب
نفسي بيضيق لما أطلع درج بسيط,قلب
بحس بلسعة في جنبي لما أتنهد,قلب
وشي بيحمر لما أشرب حاجة سخنة,قلب
بحس نبضة قوية في رقبتي لما أضحك,قلب
بحس إن قلبي بيدق جامد لما أركب عربية سريعة,قلب
وشي بيصفر لما أتوتر وسط الناس,قلب
بحس حرارة لما أطلع في شمس,قلب
بحس رعشة في بطني لما قلبي يوجعني,قلب
وشي بيحمر لما قلبي يضغط فجأة,قلب
بحس نبضة قوية في ضهري لما أمد إيدي,قلب
بحس إن قلبي بيفقد التوازن لما أرجع لورا,قلب
وشي بيصفر لما أتحرك في زحمة,قلب
بحس حرارة لما أقعد فترة طويلة,قلب
بحس وجع بيروح لرقبتي مع الخفقان,قلب
وشي بيحمر لما أضحك بشدة,قلب
بحس رعشة في قلبي لما أبذل أي مجهود,قلب
بحس إن قلبي بيدق بشكل غريب لما أنام على بطني,قلب
وشي بيصفر لما أتحرك في الحر,قلب
بحس حرارة لما أغير وضعي فجأة,قلب
بحس نبضة قوية في دماغي مع أي توتر,قلب
وشي بيحمر لما أبكي فجأة,قلب
بحس رعشة في إيدي لما قلبي يضرب جامد,قلب
بحس إن قلبي بيقف لحظة لما أتنهد جامد,قلب
وشي بيصفر لما قلبي يسرع في النوم,قلب
بحس حرارة لما أركب حاجة سريعة,قلب
بحس نبضة قوية لما أضحك بصوت عالي,قلب
وشي بيحمر لما أمد رقبتي فجأة,قلب
بحس رعشة في صدري لما أضحك كتير,قلب
بحس إن قلبي بيتزنق لما ألبس ضيق,قلب
وشي بيصفر لما أسمع صوت مفاجئ,قلب
بحس حرارة لما أطلع سلم بسرعة,قلب
بحس وجع في صدري لما أشرب حاجة ساقعة,قلب
وشي بيحمر لما أتحرك في الحر,قلب
بحس رعشة في رجلي لما قلبي يدق بسرعة,قلب
بحس إن قلبي بيقف لما أشهق فجأة,قلب
لما أكون جعان قلبي بيوجعني,قلب
التسوس السني,أسنان
التهاب اللثة,أسنان
تورم اللثة,أسنان
خراج الأسنان,أسنان
تآكل المينا,أسنان
حساسية الأسنان,أسنان
التهاب لب السن,أسنان
كسور الأسنان,أسنان
انحسار اللثة,أسنان
التهاب الفك السفلي,أسنان
مرض اللثة المزمن,أسنان
تشقق الأسنان,أسنان
انحراف الأسنان,أسنان
التهاب اللثة التقرحي,أسنان
عدم انتظام الأسنان,أسنان
ألم الفك المؤقت,أسنان
تضخم اللثة,أسنان
تكون الجير السني,أسنان
تورم الغدة اللعابية,أسنان
التهاب الغشاء المخاطي الفموي,أسنان
التهاب الأعصاب السنية,أسنان
تآكل العاج,أسنان
تسوس جذور الأسنان,أسنان
تقرح الفم,أسنان
حساسية الأنسجة اللثوية,أسنان
خلع الأسنان اللبنية المبكر,أسنان
تورم العصب السني,أسنان
عدوى الفم البكتيرية,أسنان
فقدان الأسنان الناتج عن الصدمة,أسنان
انحسار عظام الفك,أسنان
تغير لون الأسنان,أسنان
التهاب مفصل الفك الصدغي,أسنان
تكون الخراج تحت اللثة,أسنان
تآكل الجذور السنية,أسنان
اضطراب الإطباق السني,أسنان
التهاب الأعصاب المحيطية للفم,أسنان
تورم الفك العلوي,أسنان
فرط نمو اللثة,أسنان
التهاب الغدد اللعابية,أسنان
كيس الفك السفلي,أسنان
تسوس الأسنان السطحي,أسنان
تشوهات نمو الأسنان,أسنان
التهاب العصب السنخي,أسنان
التهاب مفصل الفك,أسنان
ضعف ارتباط اللثة بالأسنان,أسنان
خلل التنسج المينائي,أسنان
تغيرات لثوية ناجمة عن التدخين,أسنان
تقرحات الفم الناتجة عن الضغط,أسنان
تآكل الأسنان الناتج عن الحمض,أسنان
آلام الأسنان الليلية,أسنان
تكسر الحشوات السنية,أسنان
التهاب اللثة الحاد,أسنان
تكون تجمعات صديدية داخل اللثة,أسنان
التهاب قناة الجذر,أسنان
تآكل مينا الأسنان الميكانيكي,أسنان
تكون تجاويف بين الأسنان,أسنان
التهاب اللثة الجرثومي,أسنان
ورم لثوي حميد,أسنان
ترقق عظم الفك,أسنان
خلل في نمو الأسنان الدائمة,أسنان
انسداد قناة اللعاب,أسنان
التهاب اللثة المزمن الشديد,أسنان
تشققات المينا,أسنان
تسوس الأسنان العميق,أسنان
تغيرات لثوية بسبب نقص الفيتامينات,أسنان
تورم اللثة حول الأسنان العقل,أسنان
تشوهات في جذور الأسنان,أسنان
تورم عظام الفك,أسنان
التهاب الأنسجة المحيطة بجذور الأسنان,أسنان
التهاب اللثة حول الزرعات السنية,أسنان
تغير لون اللثة,أسنان
تكون الأنسجة الليفية في الفم,أسنان
تكون أورام حميدة بالفم,أسنان
التهاب الغشاء المخاطي الناتج عن الإشعاع,أسنان
تكون تقرحات ناتجة عن استخدام أجهزة تقويم الأسنان,أسنان
التهاب الجيوب الأنفية الناتج عن أمراض الأسنان,أسنان
آلام الأسنان الناجمة عن اضطرابات الأعصاب,أسنان
خلل في الإطباق نتيجة فقدان الأسنان,أسنان
انحسار اللثة المرتبط بالتقدم في العمر,أسنان
التهاب اللثة الناتج عن الحوامل,أسنان
تشوهات خلقية في الأسنان,أسنان
التهاب اللثة نتيجة التلوث البكتيري,أسنان
تكوين أكياس حول الأسنان المتأثرة,أسنان
تآكل جذور الأسنان بسبب الالتهابات,أسنان
التهاب النسيج الضام في الفم,أسنان
ضعف مينا الأسنان الولادي,أسنان
كسر في تاج الأسنان,أسنان
تسوس الأسنان الناتج عن عادات سيئة,أسنان
تكون ترسبات معدنية على الأسنان,أسنان
التهاب اللثة الناتج عن استخدام بعض الأدوية,أسنان
تورم الأنسجة المحيطة بالأسنان,أسنان
تراجع اللثة المفاجئ,أسنان
التهاب العصب السنخي المزمن,أسنان
تشوهات في حجم الأسنان,أسنان
حساسية اللثة تجاه بعض الأطعمة,أسنان
تكون نخور داخل الأسنان,أسنان
تكون خراجات في الفم,أسنان
آلام الفك المرتبطة بالعضلات,أسنان
تآكل الأسنان الناتج عن طحن الأسنان الليلي,أسنان
تورم الغدد اللعابية الناتج عن العدوى,أسنان
تغير لون جذور الأسنان,أسنان
تكون تجمعات دموية تحت اللثة,أسنان
تغيرات لثوية ناتجة عن الالتهابات المزمنة,أسنان
تورم حول أسنان الحكمة,أسنان
انحسار عظم الفك الناتج عن أمراض اللثة,أسنان
تآكل الأسنان الناتج عن التآكل الكيميائي,أسنان
التهاب اللثة التقرحي الحاد,أسنان
التهاب اللثة الحاد الناتج عن العدوى الفيروسية,أسنان
تورم الأنسجة الداعمة للأسنان,أسنان
تشوهات في شكل الأسنان,أسنان
التهاب اللثة الناتج عن سوء التغذية,أسنان
ضعف التئام جروح اللثة,أسنان
التهاب الغدد اللعابية المزمن,أسنان
تغيرات في أنسجة الفم المرتبطة بالعمر,أسنان
آلام الأسنان الناتجة عن كسر الأسنان,أسنان
تغير لون اللثة الناتج عن التدخين,أسنان
تورم اللثة الحاد الناتج عن العدوى,أسنان
تسوس الأسنان المتقدم مع خسارة عظمية,أسنان
تغيرات نسيجية في اللثة بسبب الأمراض المناعية,أسنان
حساسية الأسنان الناتجة عن انحسار اللثة,أسنان
انحسار الأنسجة المحيطة بالأسنان,أسنان
التهاب اللثة الناتج عن استخدام الأجهزة التقويمية,أسنان
التهاب اللثة الناتج عن التهيج الكيميائي,أسنان
تقرحات الفم الناتجة عن سوء العناية الفموية,أسنان
تغيرات في لون الأسنان الناتجة عن التعرض للأدوية,أسنان
تورم الغدد الليمفاوية المرتبطة بعدوى الأسنان,أسنان
آلام الأسنان الناتجة عن ضغط الأسنان الزائد,أسنان
تكون نخر بين الأسنان,أسنان
التهاب الفك الحاد و التهاب اللب الحاد,أسنان
تغيرات نسيجية في الغشاء المخاطي للفم,أسنان
ضعف اللثة الناتج عن الالتهابات المزمنة,أسنان
تورم اللثة الناتج عن التغيرات الهرمونية,أسنان
تسوس الأسنان الناتج عن تغذية غير سليمة,أسنان
التهاب الأنسجة الرخوة المحيطة بالأسنان,أسنان
تقرحات الفم الناتجة عن التوتر النفسي,أسنان
التهاب اللثة الناتج عن مرض السكري,أسنان
تشوهات الفم الناتجة عن العادات السيئة,أسنان
ضعف ارتباط العظم بالأسنان,أسنان
تسوس الأسنان الناتج عن نقص الفلورايد,أسنان
التهاب اللثة الناتج عن فرط نمو البكتيريا,أسنان
تآكل سطح الأسنان الناتج عن استخدام فرشاة صلبة,أسنان
آلام الأسنان الناتجة عن خلع الأسنان الجزئي,أسنان
تورم اللثة الناجم عن عدوى فطرية,أسنان
تغيرات في الأنسجة المحيطة بالأسنان الناتجة عن الأدوية,أسنان
التهاب الأنسجة اللثوية المرتبط بالعمر,أسنان
تآكل الأسنان الناتج عن التآكل الميكانيكي,أسنان
تشوهات الأسنان الناتجة عن إصابات الولادة,أسنان
التهاب الأنسجة الرخوة بسبب البكتيريا اللاهوائية,أسنان
تورم اللثة الناتج عن إصابات ميكانيكية,أسنان
التهاب اللثة الحاد الناتج عن نقص المناعة,أسنان
تغير لون الأسنان الناتج عن التدخين,أسنان
آلام الفك الناتجة عن التهاب الأعصاب,أسنان
تآكل الأسنان الناتج عن القيء المتكرر,أسنان
تورم الأنسجة المحيطة بالأسنان الناتج عن العدوى,أسنان
التهاب اللثة الناتج عن الاستخدام الطويل للأدوية,أسنان
تغيرات نسيجية في اللثة المرتبطة بمرض السرطان,أسنان
تكون تجمعات صديدية مزمنة داخل اللثة,أسنان
تشققات الأسنان الناتجة عن الإجهاد الميكانيكي,أسنان
التهاب اللثة الناتج عن أمراض الغدة الدرقية,أسنان
تورم اللثة الناتج عن حساسية الأدوية,أسنان
تغيرات في لون اللثة الناتجة عن أمراض مزمنة,أسنان
ضعف التئام الجروح بعد العمليات السنية,أسنان
تآكل الأسنان الناتج عن سوء التغذية,أسنان
تغيرات نسيجية في الفم نتيجة نقص فيتامين D,أسنان
تسوس الأسنان الناجم عن البكتيريا المقاومة,أسنان
تشوهات الأسنان الناتجة عن التعرض للأشعة,أسنان
التهاب اللثة الناجم عن نقص الحديد,أسنان
تكون نخر تحت الحشوات,أسنان
التهاب الأنسجة الداعمة للأسنان الناتج عن الأمراض المناعية,أسنان
تغيرات في الأنسجة السنية بسبب الأمراض المزمنة,أسنان
التهاب اللثة الناتج عن التعرض للحرارة الشديدة,أسنان
تورم اللثة الناتج عن العدوى الطفيلية,أسنان
تسوس الأسنان الناتج عن اضطرابات إفراز اللعاب,أسنان
خلع الأسنان الناتج عن أمراض اللثة,أسنان
التهاب مفصل الفك الصدغي,أسنان
تمزق الأنسجة المحيطة بالأسنان,أسنان
تورم اللثة الناتج عن فرط استخدام المواد الكيميائية,أسنان
التهاب الأنسجة الرخوة في الفم الناتج عن الحساسية,أسنان
تضخم الغدد اللعابية الناتج عن الأورام,أسنان
تقرحات الفم الناتجة عن العلاج الكيميائي,أسنان
تغير لون الأسنان الناتج عن التعرض للماء المكلور,أسنان
آلام الأسنان الناتجة عن انسداد القنوات الجذرية,أسنان
التهاب اللثة الناتج عن الإفراط في تنظيف الأسنان,أسنان
تكون بقايا الطعام بين الأسنان,أسنان
ضعف العظم السنخي بعد خلع الأسنان,أسنان
التهاب الغشاء المخاطي الناتج عن الجفاف الفموي,أسنان
تشققات الأسنان الناتجة عن الضغط النفسي,أسنان
تورم الفم الناتج عن التعرض للمواد الكيميائية,أسنان
التهاب اللثة الناتج عن الأمراض الهرمونية,أسنان
تآكل الأسنان الناتج عن تعاطي المخدرات,أسنان
تورم اللثة الناجم عن الالتهابات المزمنة,أسنان
التهاب الأعصاب السنية الناتج عن الضغط العصبي,أسنان
تغيرات في اللثة المرتبطة بمرض الزهايمر,أسنان
تسوس الأسنان الناتج عن عادات التنظيف الخاطئة,أسنان
ضعف الأنسجة الداعمة للأسنان نتيجة التعرض للإشعاع,أسنان
تورم اللثة الناتج عن العوامل الوراثية,أسنان
التهاب اللثة الناتج عن الأمراض النفسية,أسنان
تكون كيسات عظم الفك و التهاب اللثة الناتج عن قلة النوم,أسنان
التهاب اللثة الناتج عن اضطرابات المناعة الذاتية,أسنان
تشققات الأسنان الناتجة عن التغيرات المناخية,أسنان
احمرار وتورم في الملتحمة بعد التعرض للمواد الكيميائية,عيون ورمد
التهاب القرنية الفيروسي,عيون ورمد
التهاب القزحية الحاد,عيون ورمد
انفصال الشبكية الجزئي,عيون ورمد
التهاب الملتحمة الفطرية,عيون ورمد
انسداد الوريد الشبكي,عيون ورمد
اعتلال الشبكية السكري في مراحله الأولى,عيون ورمد
التهاب الغدة الدمعية المزمن,عيون ورمد
مرض جفاف العين العصبي,عيون ورمد
التهاب العصب البصري المزمن,عيون ورمد
اعتلال العصب البصري بسبب نقص الفيتامين B12,عيون ورمد
التهاب الصلبة المزمن,عيون ورمد
التهاب العنبية الأمامي المزمن,عيون ورمد
اعتلال الشبكية الناتج عن ارتفاع ضغط الدم,عيون ورمد
التهاب الأوعية الدموية الشبكية,عيون ورمد
تمزق في الشبكية الخلفية,عيون ورمد
اعتلال العصب البصري الوراثي,عيون ورمد
إصابة عدسة العين بعد الصدمة,عيون ورمد
وجود جسم غريب داخل العين,عيون ورمد
التهاب القنوات الدمعية المزمن,عيون ورمد
زيادة ضغط العين بسبب انسداد القنوات التصريفية,عيون ورمد
التهاب القرنية الحلزوني,عيون ورمد
انفصال الجسم الزجاجي,عيون ورمد
ثقب شبكية صغير,عيون ورمد
التهاب الملتحمة الربيعي,عيون ورمد
جحوظ العين الناتج عن فرط نشاط الغدة الدرقية,عيون ورمد
التهاب القزحية الناتج عن مرض مناعي ذاتي,عيون ورمد
اعتلال الشبكية بسبب التسمم بالرصاص,عيون ورمد
التهابات العين الفيروسية المتكررة,عيون ورمد
التهاب العين الناتج عن داء السكري,عيون ورمد
ضعف عضلات العين المؤدي للحول,عيون ورمد
ضعف النظر الليلي الناتج عن نقص فيتامين أ,عيون ورمد
التهابات العين الناجمة عن العدسات اللاصقة,عيون ورمد
التهاب الملتحمة التحسسي الموسمي,عيون ورمد
نزيف تحت الشبكية,عيون ورمد
التهاب العصب البصري العصبي,عيون ورمد
التهاب الهلل في العين,عيون ورمد
التهاب العين بعد العمليات الجراحية,عيون ورمد
تشوه القرنية الخلقي,عيون ورمد
ضمور الشبكية التنكسي,عيون ورمد
التهاب الملتحمة الجرثومي,عيون ورمد
متلازمة جفاف العين الحادة,عيون ورمد
ورم خلقي في القزحية,عيون ورمد
اعتلال الشبكية السام,عيون ورمد
التهاب العين الناتج عن أدوية معينة,عيون ورمد
ضعف التكيف البصري مع الضوء,عيون ورمد
الحول الناتج عن اضطراب في الأعصاب,عيون ورمد
التهاب العين الناتج عن أمراض جهازية مثل الذئبة,عيون ورمد
التهاب الجفن المزمن,عيون ورمد
اعتلال القرنية التنكسي,عيون ورمد
إصابة العين بحروق كيميائية,عيون ورمد
جرح في القرنية الخارجي,عيون ورمد
قرحة القرنية الناتجة عن عدوى بكتيرية,عيون ورمد
التهاب الملتحمة الفيروسي الحاد,عيون ورمد
انسداد القنوات الدمعية الولادي,عيون ورمد
ضعف البصر الناتج عن اعتلال الشبكية الوراثي,عيون ورمد
التهاب العين الناتج عن التعرض للشمس لفترات طويلة,عيون ورمد
جفاف العين الناتج عن متلازمة سجوجرن,عيون ورمد
انتفاخ القرنية,عيون ورمد
التهاب القزحية التالي للعملية الجراحية,عيون ورمد
نزيف في الجسم الزجاجي,عيون ورمد
ورم عضلات العين,عيون ورمد
انحراف العين الخلقي,عيون ورمد
التهاب القرنية الناتج عن داء الزهري,عيون ورمد
اعتلال الشبكية الناتج عن مرض هنتنغتون,عيون ورمد
تدهور وظائف الخلايا العصبية في شبكية العين,عيون ورمد
ضعف عضلات الجفن,عيون ورمد
اعتلال العين السام بسبب الأدوية,عيون ورمد
التهاب العين بعد الحقن داخل العين,عيون ورمد
تشوهات القرنية الناتجة عن الالتهابات المزمنة,عيون ورمد
ضعف الإبصار الناتج عن تليف الشبكية,عيون ورمد
جروح العين العميقة الناتجة عن حادثة,عيون ورمد
التهاب الجفن الناجم عن العدوى الفطرية,عيون ورمد
تمزق العصب البصري بعد الصدمة,عيون ورمد
التهاب القرنية الناتج عن مرض الذئبة,عيون ورمد
التهاب العين الناتج عن فيروس الهربس,عيون ورمد
ضعف الإبصار المفاجئ الناتج عن انسداد الشريان الشبكي,عيون ورمد
متلازمة تيرنر العينية,عيون ورمد
ضعف القدرة على التركيز بسبب مشاكل في العين,عيون ورمد
التهاب العين الناتج عن استخدام العدسات اللاصقة لفترة طويلة,عيون ورمد
ورم الغدة الدمعية,عيون ورمد
التهاب الملتحمة الناتج عن الحساسية تجاه الأتربة,عيون ورمد
ضعف العضلات المحركة للعين بعد السكتة الدماغية,عيون ورمد
نزيف العين الناتج عن ارتفاع ضغط الدم,عيون ورمد
اعتلال الشبكية الناتج عن أمراض الكبد,عيون ورمد
التهاب القرنية الناتج عن داء السكري,عيون ورمد
تمزق الشبكية الناتج عن الإجهاد البدني,عيون ورمد
التهاب القرنية الناتج عن مرض التصلب اللويحي,عيون ورمد
انسداد الشريان الشبكي المركزي,عيون ورمد
التهاب العين الناتج عن التهاب المفاصل الروماتويدي,عيون ورمد
مرض العين الوراثي المتقدم,عيون ورمد
ضعف التكيف مع تغير الضوء المفاجئ,عيون ورمد
التهاب العصب البصري الناتج عن مرض التصلب الجانبي الضموري,عيون ورمد
جحوظ العين الناتج عن التهاب الغدة الدرقية,عيون ورمد
تليف شبكية العين الناتج عن التعرض للإشعاع,عيون ورمد
التهاب العين بعد العمليات التجميلية,عيون ورمد
ضعف البصر الناتج عن تمزق العدسة,عيون ورمد
التهاب العين الناتج عن داء كرون,عيون ورمد
ضعف الرؤية في الضوء الخافت الناتج عن اعتلال الشبكية الوراثي,عيون ورمد
التهاب القرنية البكتيري,عيون ورمد
التهاب الملتحمة الجرثومي,عيون ورمد
التهاب العين الوريدي,عيون ورمد
انسداد القناة الدمعية,عيون ورمد
التهاب العصب البصري الإقفاري,عيون ورمد
تمزق القرنية,عيون ورمد
التهاب الجفن الحاد,عيون ورمد
القرنية المخروطية,عيون ورمد
اعتلال الشبكية الناتج عن ارتفاع الكوليسترول,عيون ورمد
النزيف تحت الملتحمة,عيون ورمد
التهاب الغدة الدمعية الحاد,عيون ورمد
مرض الأجسام الطافية في العين,عيون ورمد
الحول التقاربي,عيون ورمد
اعتلال الشبكية الناتج عن ارتفاع الكالسيوم,عيون ورمد
التهاب القرنية الناتج عن التعرض للأشعة فوق البنفسجية,عيون ورمد
تمزق عدسة العين,عيون ورمد
التهاب الملتحمة الناتج عن التعرض للمواد الكيميائية,عيون ورمد
متلازمة العين الجافة المزمنة,عيون ورمد
الحول التباعدي,عيون ورمد
التهاب القرنية الجرثومي,عيون ورمد
التهاب الشبكية الناتج عن فيروس نقص المناعة البشرية,عيون ورمد
التهاب القرنية التقرحي,عيون ورمد
انسداد الشريان الشبكي الفرعي,عيون ورمد
الانحراف الحدقي,عيون ورمد
اعتلال العصب البصري الناتج عن التسمم بالكحول,عيون ورمد
تصلب صلبة العين,عيون ورمد
القرنية البيضاء الخلقية,عيون ورمد
التهاب الغدة الدمعية الناتج عن العدوى الفيروسية,عيون ورمد
ضعف النظر المركزي,عيون ورمد
الحول العضلي,عيون ورمد
التهاب القرنية الناتج عن داء المقوسات,عيون ورمد
